# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1741107268
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5103/chain_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-415344,1,0.000976562,3,7,0,952050,0.263029,3.28444,1.38658,0.835466,3.78895,1.17617,0.246226,0.248576,0.299984,0.604804,1.31282,4.04218,3.9362,3.44573,0.47391,0.834208,4.23619
-415344,0,14.3855,0,1,1,415354,0.263029,3.28444,1.38658,0.835466,3.78895,1.17617,0.246226,0.248576,0.299984,0.604804,1.31282,4.04218,3.9362,3.44573,0.47391,0.834208,4.23619
-415344,0,2.43117,0,1,1,415355,0.263029,3.28444,1.38658,0.835466,3.78895,1.17617,0.246226,0.248576,0.299984,0.604804,1.31282,4.04218,3.9362,3.44573,0.47391,0.834208,4.23619
-415344,0,0.239791,0,1,1,415355,0.263029,3.28444,1.38658,0.835466,3.78895,1.17617,0.246226,0.248576,0.299984,0.604804,1.31282,4.04218,3.9362,3.44573,0.47391,0.834208,4.23619
-415344,0,0.0186273,0,1,1,415355,0.263029,3.28444,1.38658,0.835466,3.78895,1.17617,0.246226,0.248576,0.299984,0.604804,1.31282,4.04218,3.9362,3.44573,0.47391,0.834208,4.23619
-277341,1,0.00130482,1,1,0,389995,0.265335,2.56734,1.34727,0.828001,3.78931,1.17732,0.246393,0.242573,0.300323,0.452318,1.30971,4.04445,3.81704,3.39117,0.470732,0.834426,4.02162
-176957,1,0.00189104,5,31,0,257568,0.269632,1.86103,1.26805,0.810017,3.78833,1.17711,0.245636,0.229757,0.300059,0.321245,1.30762,4.03624,3.59392,3.29101,0.465032,0.837442,3.64616
-101977,1,0.00305706,1,1,0,160728,0.28109,1.20756,1.10121,0.767136,3.79718,1.17357,0.245102,0.204687,0.30037,0.205309,1.30721,4.04331,3.15436,3.07664,0.451437,0.840555,2.92968
-48363.2,1,0.00530085,2,3,0,89363.4,0.319905,0.693912,0.805368,0.661341,3.80817,1.1791,0.245814,0.154651,0.301045,0.120249,1.29791,4.02535,2.29351,2.52544,0.413831,0.855352,1.94758
-16979.3,1,0.00961161,1,1,0,40067.3,0.44267,0.378361,0.470403,0.467473,3.81685,1.19139,0.244708,0.0933671,0.302752,0.0655142,1.28916,4.00349,1.33484,1.67285,0.333798,0.887085,1.08484
-4781.83,1,0.0179176,3,7,0,13550.2,0.753814,0.208977,0.257892,0.255854,3.91183,1.18279,0.236913,0.0486283,0.310466,0.035937,1.28877,4.01562,0.717404,0.945557,0.210456,0.983733,0.585527
-1561.98,1,0.0339435,1,1,0,3856.06,1.19164,0.115215,0.149067,0.155442,3.94328,1.16387,0.231772,0.0257137,0.321086,0.0185053,1.25083,4.10635,0.409491,0.527576,0.135258,1.26504,0.30817
-517.648,0.5,0.0648221,1,2,1,1390.92,1.85269,0.0554963,0.0812102,0.091043,3.8946,1.21849,0.208714,0.0133474,0.315648,0.0101417,1.32685,4.79591,0.239689,0.348368,0.118626,2.78647,0.155883
-320.399,0.266667,0.0258767,4,15,0,468.737,1.5399,0.0510026,0.0835361,0.0863602,3.90039,1.10665,0.199807,0.0118166,0.330848,0.00909943,1.35896,4.76155,0.246733,0.340725,0.124372,5.06465,0.143823
-162.857,0.989765,0.00506873,5,31,0,329.652,1.0576,0.0419744,0.0579005,0.066151,4.39069,1.04746,0.121928,0.00843659,0.303568,0.00764313,1.347,4.90012,0.215139,0.182933,0.133892,5.56532,0.0895539
-73.3828,0.772012,0.00957254,4,29,1,168.533,0.745743,0.0374502,0.0496602,0.0483876,4.07406,0.792135,0.121338,0.00773954,0.338753,0.00750641,1.30876,4.99284,0.153218,0.160963,0.111397,4.81725,0.0815834
