# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-962.827,1,0.015625,4,15,0,2162.68,0.786507,4.32479,0.273626,0.179204,1.72391,0.92761,1.7665,1.58385,0.57167,0.327398,0.735774,0.181269,0.419698,0.575913,2.99804,4.74785,3.91097
-962.827,0,14.3855,0,1,1,970.786,0.786507,4.32479,0.273626,0.179204,1.72391,0.92761,1.7665,1.58385,0.57167,0.327398,0.735774,0.181269,0.419698,0.575913,2.99804,4.74785,3.91097
-962.827,0,2.43117,0,1,1,972.453,0.786507,4.32479,0.273626,0.179204,1.72391,0.92761,1.7665,1.58385,0.57167,0.327398,0.735774,0.181269,0.419698,0.575913,2.99804,4.74785,3.91097
-962.827,0,0.239791,0,1,1,971.08,0.786507,4.32479,0.273626,0.179204,1.72391,0.92761,1.7665,1.58385,0.57167,0.327398,0.735774,0.181269,0.419698,0.575913,2.99804,4.74785,3.91097
-416.626,1,0.0186273,2,3,0,918.815,0.846504,4.4046,0.262829,0.171527,1.71462,0.860301,1.75543,1.54613,0.563556,0.333779,0.701906,0.182527,0.422582,0.586794,2.69723,5.02496,1.86237
-231.926,1,0.0257257,2,3,0,404.807,1.10437,4.41635,0.235933,0.155625,1.82538,0.698872,1.95791,1.46483,0.565674,0.325086,0.633757,0.191375,0.500913,0.761977,2.1028,7.17309,1.02466
-193.278,0.428571,0.0404064,3,7,0,236.544,0.976069,4.22406,0.220272,0.147199,1.52022,0.669709,1.99174,1.61557,0.522776,0.350627,0.514903,0.195386,0.460652,0.821048,2.14266,6.84022,0.764181
-174.895,0.955628,0.0116051,4,15,0,199.763,0.894682,4.60554,0.182262,0.148937,1.43371,0.632188,2.12778,1.61672,0.480491,0.38375,0.486627,0.212439,0.46825,0.871203,2.10148,7.27146,0.679448
-93.9612,0.973461,0.0177306,5,31,0,179.499,0.629979,4.27596,0.101849,0.111286,1.22016,0.439777,1.68983,1.61142,0.400363,0.732181,0.367172,0.155447,0.318286,0.94171,1.23498,5.78121,0.397193
-60.0199,0.181381,0.029738,4,15,0,101.289,0.592482,4.54881,0.0827324,0.110101,1.29726,0.416492,1.43484,1.80624,0.523196,0.903434,0.311424,0.160053,0.281135,0.792391,1.32477,6.23984,0.323691
-49.5509,0.996363,0.0041708,8,255,0,72.6718,0.532387,6.36704,0.138661,0.135823,0.887068,0.177842,0.661814,2.82884,0.856916,0.871795,0.165507,0.057663,0.0269484,1.19804,0.14809,4.42261,0.160392
-26.761,0.995213,0.00782391,8,255,0,59.2764,0.453573,5.89573,0.0929515,0.198144,1.24471,0.199514,0.575895,2.84347,0.436784,0.13908,0.210927,0.0850329,0.0260442,1.51934,0.250049,6.98922,0.135374
