Cell	Parent
0	-1
28	0
58	0
68	0
80	0
95	0
97	0
112	0
224	0
254	0
292	0
293	0
299	0
307	0
313	0
383	0
407	0
415	0
417	0
436	0
534	0
605	0
682	0
694	0
695	0
704	0
728	0
738	0
757	0
765	0
794	0
832	0
882	0
888	0
891	0
897	0
898	0
922	0
973	0
981	0
1003	0
1068	0
1080	0
1095	0
1137	0
1159	0
1166	0
1170	0
1182	0
1370	0
1465	0
1523	0
1732	0
1788	0
1853	0
1884	0
1885	0
1925	0
2098	0
2125	0
2128	0
2136	0
2141	0
2146	0
2323	0
2349	0
2408	0
2417	0
2500	0
2510	0
2717	0
2733	0
2832	0
2839	0
2845	0
2941	0
2952	0
2967	0
2995	0
2998	0
3008	0
3032	0
3080	0
3107	0
3167	0
3184	0
3369	0
3460	0
3485	0
3508	0
3517	0
3526	0
3553	0
3584	0
3635	0
3654	0
3684	0
3723	0
3826	0
3916	0
3941	0
3952	0
3961	0
4021	0
4100	0
4120	0
4158	0
4163	0
4210	0
4234	0
4239	0
4330	0
4373	0
4461	0
4474	0
4487	0
4492	0
4500	0
4523	0
4658	0
4697	0
4705	0
4837	0
4995	0
5006	0
5029	0
5057	0
343	28
391	28
412	28
419	28
439	28
584	28
599	28
650	28
670	28
706	28
916	28
1052	28
1096	28
1120	28
1135	28
1319	28
1320	28
1485	28
1511	28
1568	28
1590	28
1677	28
1763	28
1936	28
2137	28
2143	28
2204	28
2224	28
2256	28
2317	28
2418	28
2427	28
2431	28
2439	28
2440	28
2564	28
2718	28
2731	28
2823	28
3122	28
3124	28
3132	28
3136	28
3176	28
3178	28
3199	28
3214	28
3247	28
3370	28
3394	28
3599	28
3658	28
3667	28
3670	28
3757	28
3935	28
3940	28
3992	28
4058	28
4134	28
4188	28
4356	28
4413	28
4419	28
4496	28
4503	28
4506	28
4554	28
4637	28
4638	28
4681	28
4897	28
4921	28
4929	28
4930	28
7	58
44	58
61	58
74	58
406	58
579	58
582	58
619	58
723	58
751	58
756	58
865	58
989	58
1055	58
1075	58
1084	58
1092	58
1134	58
1144	58
1195	58
1313	58
1317	58
1595	58
1652	58
1656	58
1780	58
1923	58
2167	58
2181	58
2455	58
2592	58
2614	58
2623	58
3053	58
3062	58
3182	58
3189	58
3192	58
3302	58
3556	58
3565	58
3653	58
3663	58
3752	58
3768	58
3781	58
4015	58
4433	58
4514	58
4623	58
4782	58
4863	58
4931	58
4983	58
153	68
189	68
331	68
357	68
366	68
456	68
522	68
735	68
810	68
1133	68
1187	68
1202	68
1297	68
1312	68
1411	68
1574	68
1612	68
1633	68
1700	68
1739	68
1926	68
2005	68
2201	68
2384	68
2386	68
2799	68
2866	68
2867	68
2966	68
3120	68
3338	68
3422	68
3628	68
3749	68
4516	68
4582	68
4680	68
4733	68
4761	68
4960	68
5040	68
3576	80
5065	80
1180	95
24	97
85	97
421	97
674	97
708	97
740	97
868	97
1083	97
1151	97
1254	97
1687	97
2092	97
2155	97
2316	97
2432	97
2476	97
2656	97
2678	97
2707	97
2730	97
2925	97
2930	97
2940	97
2981	97
3101	97
3125	97
3266	97
3279	97
3351	97
3374	97
3560	97
3637	97
3720	97
3737	97
3767	97
3776	97
3786	97
3830	97
3873	97
3932	97
3936	97
3949	97
4017	97
4026	97
4059	97
4115	97
4121	97
4440	97
4726	97
4810	97
4869	97
4896	97
5003	97
418	112
1132	112
1205	112
1219	112
1230	112
2170	112
2438	112
2549	112
3592	112
3774	112
4251	112
4314	112
4315	112
4639	112
4907	112
4927	112
2299	224
3163	224
16	254
50	254
385	254
503	254
591	254
1183	254
1695	254
2419	254
2437	254
3542	254
4629	254
164	292
179	292
247	292
451	292
540	292
568	292
881	292
893	292
948	292
975	292
977	292
1157	292
1169	292
1250	292
1567	292
1635	292
1636	292
1711	292
1797	292
2070	292
2279	292
2298	292
2328	292
2341	292
2358	292
2509	292
2863	292
3040	292
3044	292
3057	292
3144	292
3246	292
3454	292
3481	292
3704	292
3724	292
3744	292
3877	292
3892	292
3897	292
3917	292
4317	292
4379	292
4470	292
4598	292
4608	292
4686	292
4971	292
4974	292
5024	292
5072	292
839	293
2886	293
3055	293
3520	293
3530	293
3555	293
3738	293
3798	293
3861	293
3895	293
4600	293
5073	293
314	299
403	299
895	299
1481	299
1979	299
2115	299
2350	299
2430	299
2816	299
2938	299
4087	299
4283	299
215	307
525	307
805	307
811	307
825	307
962	307
1270	307
1702	307
1761	307
1828	307
2381	307
2462	307
2499	307
3679	307
3762	307
3829	307
3896	307
3963	307
4000	307
4130	307
4900	307
18	313
302	313
328	313
635	313
645	313
762	313
877	313
953	313
1017	313
1067	313
1615	313
1948	313
1961	313
2253	313
2302	313
2608	313
2955	313
3145	313
