Cell	Parent
148	-1
16	148
115	16
210	115
230	210
43	230
80	43
321	80
339	321
414	339
55	414
81	55
333	81
246	333
257	246
290	257
293	290
154	293
474	154
237	474
240	237
303	240
306	303
323	306
118	323
113	118
12	113
273	12
18	273
48	18
64	48
76	64
77	76
108	77
274	108
276	274
281	276
243	281
75	243
104	75
232	104
215	232
164	215
152	164
162	152
448	162
140	448
549	140
551	549
220	551
137	220
147	137
211	147
247	211
89	247
103	89
227	103
286	227
283	286
387	283
381	387
296	381
403	296
141	403
60	141
318	60
244	318
330	244
351	330
85	351
91	85
88	91
33	88
34	33
133	34
96	133
112	96
260	112
341	260
366	341
335	366
421	335
416	421
534	416
374	534
338	374
254	338
353	254
359	353
375	359
364	375
279	364
138	279
155	138
92	155
102	92
116	102
63	116
101	63
117	101
181	117
22	181
326	22
349	326
329	349
90	329
270	90
275	270
249	275
252	249
