Cell	Parent
0	-1
5057	0
5119	5057
5096	5119
5099	5096
5095	5099
5084	5095
5081	5084
4960	5081
4919	4960
4945	4919
4970	4945
4924	4970
4651	4924
4887	4651
4882	4887
4783	4882
4744	4783
5065	4744
5006	5065
4995	5006
4837	4995
5029	4837
4983	5029
4931	4983
4904	4931
4951	4904
5123	4951
5062	5123
4947	5062
5104	4947
4909	5104
4965	4909
4928	4965
5023	4928
5110	5023
5122	5110
5116	5122
5090	5116
5089	5090
5127	5089
5114	5127
5106	5114
5048	5106
5093	5048
5082	5093
5051	5082
5034	5051
5047	5034
5041	5047
5115	5041
5108	5115
5080	5108
5086	5080
5069	5086
5056	5069
5060	5056
5020	5060
5066	5020
5043	5066
5021	5043
5027	5021
5014	5027
4899	5014
4901	4899
4851	4901
5016	4851
5013	5016
5007	5013
4953	5007
4954	4953
4836	4954
4749	4836
4754	4749
4938	4754
5046	4938
5012	5046
4986	5012
4858	4986
5088	4858
5018	5088
5049	5018
5117	5049
5063	5117
5078	5063
5031	5078
5059	5031
4861	5059
5052	4861
5026	5052
4846	5026
4862	4846
4790	4862
5037	4790
4849	5037
5010	4849
4832	5010
5042	4832
5017	5042
5097	5017
4961	5097
5107	4961
5124	5107
5125	5124
5098	5125
5087	5098
5061	5087
5074	5061
5022	5074
5113	5022
5118	5113
5105	5118
5100	5105
5070	5100
5032	5070
4854	5032
5044	4854
5053	5044
5075	5053
5111	5075
5077	5111
5025	5077
4856	5025
4827	4856
4900	4827
5072	4900
5024	5072
4799	5024
5033	4799
5109	5033
4950	5109
4863	4950
4835	4863
4768	4835
4814	4768
5083	4814
5030	5083
4821	5030
4992	4821
4762	4992
4729	4762
4758	4729
4987	4758
5079	4987
4743	5079
4842	4743
4777	4842
4740	4777
4855	4740
4806	4855
4778	4806
4726	4778
5003	4726
4977	5003
5121	4977
5071	5121
5028	5071
5036	5028
4974	5036
4971	4974
4929	4971
4930	4929
4921	4930
4907	4921
5005	4907
4994	5005
4976	4994
4888	4976
4927	4888
4991	4927
5120	4991
4869	5120
4810	4869
4652	4810
4653	4652
4936	4653
4943	4936
4926	4943
4771	4926
4751	4771
4747	4751
4574	4747
4392	4574
4336	4392
4295	4336
4784	4295
4511	4784
4639	4511
4894	4639
4891	4894
4917	4891
4906	4917
4922	4906
4886	4922
4654	4886
4918	4654
4809	4918
4709	4809
4629	4709
4724	4629
4681	4724
4897	4681
4761	4897
5040	4761
5073	5040
5064	5073
5015	5064
4848	5015
4795	4848
4785	4795
4844	4785
4973	4844
4966	4973
4989	4966
5101	4989
5054	5101
5102	5054
5039	5102
4981	5039
4956	4981
4934	4956
4959	4934
4978	4959
4969	4978
4963	4969
4911	4963
4925	4911
4996	4925
4946	4996
4913	4946
4807	4913
4826	4807
4962	4826
4843	4962
4838	4843
4800	4838
4798	4800
4779	4798
5008	4779
4834	5008
4857	4834
4840	4857
4831	4840
4805	4831
4823	4805
4853	4823
4812	4853
4841	4812
4868	4841
4828	4868
4822	4828
4562	4822
4731	4562
