Cell	Parent
5106	-1
4563	5106
4525	4563
4597	4525
4520	4597
4601	4520
4974	4601
4837	4974
4614	4837
4608	4614
4605	4608
4674	4605
4688	4674
4589	4688
4668	4589
4620	4668
4629	4620
4655	4629
4752	4655
4658	4752
4514	4658
4927	4514
4653	4927
4691	4653
4681	4691
4930	4681
4757	4930
4617	4757
4578	4617
4690	4578
4697	4690
4689	4697
4921	4689
4673	4921
4686	4673
4387	4686
4685	4387
4557	4685
4121	4557
4592	4121
4618	4592
4576	4618
4707	4576
4702	4707
4567	4702
4679	4567
4710	4679
4670	4710
4680	4670
4571	4680
4700	4571
4714	4700
4661	4714
4728	4661
4740	4728
4726	4740
4717	4726
4675	4717
4810	4675
4471	4810
4616	4471
4778	4616
4742	4778
4703	4742
4709	4703
4711	4709
4741	4711
4699	4741
4756	4699
4719	4756
4693	4719
4718	4693
4626	4718
4643	4626
4538	4643
4633	4538
4715	4633
4676	4715
4706	4676
4602	4706
4683	4602
4738	4683
4562	4738
4537	4562
4539	4537
4519	4539
4991	4519
4565	4991
4610	4565
4692	4610
4701	4692
4532	4701
4665	4532
4908	4665
4631	4908
4593	4631
4502	4593
4667	4502
4517	4667
4645	4517
4870	4645
4531	4870
4556	4531
4630	4556
4712	4630
4721	4712
4433	4721
4744	4433
4687	4744
4499	4687
4730	4499
4773	4730
4920	4773
4872	4920
4664	4872
4659	4664
4747	4659
4764	4747
4619	4764
4794	4619
4734	4794
4772	4734
4725	4772
4650	4725
4854	4650
4784	4854
4654	4784
4737	4654
4912	4737
4883	4912
4635	4883
4909	4635
4649	4909
4660	4649
4648	4660
4627	4648
4766	4627
4735	4766
4956	4735
4641	4956
4878	4641
4886	4878
4705	4886
4723	4705
4881	4723
4906	4881
4976	4906
4765	4976
4603	4765
4762	4603
4579	4762
4754	4579
4761	4754
4696	4761
4733	4696
4855	4733
4806	4855
4815	4806
4793	4815
4864	4793
4842	4864
4753	4842
4783	4753
4888	4783
4880	4888
4922	4880
4891	4922
4875	4891
4663	4875
4511	4663
4644	4511
4846	4644
4751	4846
4782	4751
4856	4782
4814	4856
4827	4814
4818	4827
4808	4818
4812	4808
4844	4812
4845	4844
4780	4845
4860	4780
4672	4860
4708	4672
4729	4708
4609	4729
4713	4609
4722	4713
4769	4722
4678	4769
4746	4678
4797	4746
4473	4797
4787	4473
4671	4787
4779	4671
4781	4779
4739	4781
4786	4739
4800	4786
4828	4800
4790	4828
4732	4790
4832	4732
4839	4832
4792	4839
4802	4792
4796	4802
4749	4796
4750	4749
4964	4750
4822	4964
4863	4822
5009	4863
4743	5009
4758	4743
4970	4758
4759	4970
4767	4759
4914	4767
4982	4914
4869	4982
4879	4869
4871	4879
4884	4871
4666	4884
4896	4666
4876	4896
4929	4876
4799	4929
4760	4799
4838	4760
5085	4838
4990	5085
4774	4990
4771	4774
4785	4771
4885	4785
4941	4885
4843	4941
4907	4843
4890	4907
4865	4890
4935	4865
4942	4935
4646	4942
5000	4646
4882	5000
4902	4882
4957	4902
4830	4957
4819	4830
4795	4819
4835	4795
4798	4835
4804	4798
4824	4804
5007	4824
4813	5007
4807	4813
4820	4807
4805	4820
4594	4805
4831	4594
4848	4831
4847	4848
4788	4847
4851	4788
4803	4851
4811	4803
4791	4811
5035	4791
4841	5035
4849	4841
4858	4849
4861	4858
4853	4861
4825	4853
4852	4825
5012	4852
4823	5012
4816	4823
4840	4816
4834	4840
4958	4834
4801	4958
5001	4801
4995	5001
4959	4995
4963	4959
4985	4963
4720	4985
4817	4720
4867	4817
4826	4867
4984	4826
4887	4984
4731	4887
4866	4731
4748	4866
4993	4748
4916	4993
4873	4916
4918	4873
4951	4918
4992	4951
4900	4992
4979	4900
4657	4979
4656	4657
4895	4656
4934	4895
4994	4934
5102	4994
5039	5102
4833	5039
4768	4833
4836	4768
5004	4836
4889	5004
5005	4889
4999	5005
4967	4999
4894	4967
4770	4894
5024	4770
5032	5024
5002	5032
4923	5002
4924	4923
4911	4924
4874	4911
4928	4874
4945	4928
4932	4945
4910	4932
4998	4910
4939	4998
4938	4939
4954	4938
4969	4954
5080	4969
5096	5080
4952	5096
4953	4952
5013	4953
5023	5013
5043	5023
4962	5043
5059	4962
5095	5059
4965	5095
5060	4965
5020	5060
5016	5020
5086	5016
5084	5086
5069	5084
5094	5069
5108	5094
5119	5108
5050	5119
5115	5050
5071	5115
5052	5071
5044	5052
4977	5044
4859	4977
5076	4859
4775	5076
5065	4775
4972	5065
4931	4972
4983	4931
4988	4983
4981	4988
4989	4981
4968	4989
4986	4968
4978	4986
4966	4978
5079	4966
4997	5079
4893	4997
4950	4893
4917	4950
4913	4917
4892	4913
4919	4892
4946	4919
4925	4946
4905	4925
4947	4905
4940	4947
4961	4940
5003	4961
5053	5003
4996	5053
5011	4996
5014	5011
5018	5014
5019	5018
5027	5019
5021	5027
5025	5021
4850	5025
5036	4850
5101	5036
5075	5101
5070	5075
5041	5070
5008	5041
4971	5008
5063	4971
5103	5063
5083	5103
5123	5083
5098	5123
5100	5098
5077	5100
5072	5077
5112	5072
5118	5112
5111	5118
5105	5111
4955	5105
5124	4955
5057	5124
5022	5057
5087	5022
4975	5087
5028	4975
5113	5028
4862	5113
5074	4862
4973	5074
5078	4973
5109	5078
4960	5109
5062	4960
5066	5062
5081	5066
5067	5081
5015	5067
5006	5015
5047	5006
5064	5047
5017	5064
5031	5017
5099	5031
5029	5099
5104	5029
5040	5104
5120	5040
4904	5120
4948	4904
4926	4948
4640	4926
4949	4640
5125	4949
4936	4926
5126	4948
5038	5126
4857	5038
5026	4857
5045	5026
5037	5045
5042	5037
5034	5042
5048	5034
5049	5048
4868	5049
4980	4868
5055	4980
5030	5055
5010	5030
5068	5010
4821	5068
5097	4821
5056	5097
5110	5056
5122	5110
5058	5122
5088	5058
5090	5088
5089	5090
5054	5089
5114	5054
5092	5114
5051	5092
5082	5051
5117	5082
5091	5117
5046	5091
5107	5046
5121	5107
5116	5046
5127	5116
5093	5127
